name,rating,text,resp,gmap_id
Paul C,1,This Is The Dirtiest Panera Ive Even Been In And Its Been Holding That For The Last 2Yrs How Can Their Food Be Clean If Part Of Their Job Is To Clean The Whole Restaurant Ive Seen Gas Stations With Cleaner Restrooms Look Closely Youll See The Days Old Crap On The Wall,Sin Dato,0X808F914094Fdfb0D0Xee9364D8Ccb35C
Fariz Amiraliyev,1,This Postal Office Only For The Drop Off They Dont Providing Service With The Purchases I Spent A Lot Of Time To Reach This Place  I Was Very Sad,Sin Dato,0X808Fca2Efe043F570X1D4C819892B4Eb
Phani Kiran Kara,1,They Decide They Dont Want To Deliver Early Morning Itself At The Sorting Office Then They Update The Delivery Status To Something Weird That The Package Was Oversize For The Mailbox Come On Did You Ever Expect A Tv To Fit Into Mailbox Why Did You Commit On Delivery And Accept The Package From Amazon In The First Place Then Later In The Day A Note Was Silently Left In Mailbox Saying Its Heavy And We Were Out Of Station No One Bothered To Call Us And We Cancelled All Our Plans And Stayed At Home For This Delivery All Day We Were Home All Day 24Hrs And We Dont Even Have A Car To Go Out Anyways Really Unprofessional  Avoid,Sin Dato,0X808Fca2Efe043F570X1D4C819892B4Eb
Shawn Bristow,1,Sin Dato,Sin Dato,0X80917F1E839391D50X4F20031A8Be56A
Sheryl Lopez,1,Sin Dato,Sin Dato,0X80951E73D51F32Bd0Xc88B71019Ab9Bd
Christopher Ward,1,Sin Dato,Sin Dato,0X80952F9Ea08E834F0X27De00Be193D55
Rebecca Bye,1,Zero Stars No Negative Stars,Sin Dato,0X809Ad9A5F752C96B0Xeff0D3Ade66B25
Arlena Y Burdick,1,Sin Dato,Sin Dato,0X809Adb261Cb576Cb0X73E443F5771Cb4
Stephanie Brown,1,That Flat Out Said We Cant Help You  Being From Out Of Town I Was Devastated,Sin Dato,0X809B21De6B7424F30X281Ccfa057F578
Guy,1,The Worst Service There Is Simple As That,Sin Dato,0X809B21De6B7424F30X281Ccfa057F578
Southern California Horticulture,1,Absolute Scam Waste Of Time Fly 5 Hours To Be Told No Car Absolute Horrible Experience They Get 1 Star For Paying For My Uber,Sin Dato,0X80C2B6Bfae09Ab290Xd7F3Ecac13557D
S A,1,This Place Is No Longer 1 Nails They Are A New Company And They Do A Terrible Job On Nails Specially Eyebrows,Sin Dato,0X80C2B84F5B194D770Xabd6Bdafd7A45F
Maria Marroquin,1,Sin Dato,Sin Dato,0X80C2B84F5B194D770Xabd6Bdafd7A45F
John Bassir,1,They Give Ripoff A New Meaning  Be Aware  They Are For Sure After Your Valet,Sin Dato,0X80C2B8Fde9Cd189D0X62A11Ef68D5Dc6
Samuel De Los Santos,1,Ghetto,Sin Dato,0X80C2Bb70154175Ad0X6Ef8Bc5A8952B7
Michael Younkin,1,Lots Of Cockroaches Horrible Plumbing You Can Easily See How Bad It Is If You Look At The Ceiling Of The Upper Parking Garage Its A Maze Of Pipes With Metal Panels Catching Drips Water And Sewage Drip Onto Cars And People My Apartment And My Neighbors Apartments Flooded Multiple Times Management Never Even Apologized For It,Time 1600280677560 Text Thank You For Providing Your Feedback And Letting Us Know About This Issue Michael We Set A High Standard For Ourselves And Are Truly Sorry To Hear That Standard Was Not Met In Your Interaction With Us Please Get In Touch With Us At 310 9757057 To Further Discuss Im New To The Woodcliff Team So Feel Free To Reach Out To Me At Any Time So We Can Turn Your Experience Aroundnncheersnndeanna Hughes Rpm  Woodcliff Apartment Homes,0X80C2Bbca112Cdd210X7Df801F147D56A
Yenson In Usa,1,Customer Service Is Poor And Services Are Not Updated On Time Ratings,Sin Dato,0X80C2C77Bfae532E70X23Df6A0728A702
Maria Sanchez,1,Sin Dato,Sin Dato,0X80C2C7F16D8423490Xe9F6Caa32400E9
Carmensita Rodriguez,1,Sin Dato,Sin Dato,0X80C2C920606266E90X4F983Ede565Eae
Gaby Acha,1,Sin Dato,Sin Dato,0X80C2Cd4Dd36694Ad0X8Fcb2B9E27D83E
Jesus Antonio Rodriguez,1,Translated By Google Very Bad Att They Never Answer Very Bad Service Wants One To Speak To Ask For Parts And They Never Answer That They Cannot Pick Up The Phone For The Koby They Are Infected Bad Customer Service Original Muy Mal Att Nunca Contestan Muy Mal Servicio Quiere Uno Hablar Para Preguntar Por Partes Y Nunca Contestan Que No Pueden Agarrar El Teléfono Por El Koby Que Se Infectan Mala Atención Al Cliente,Sin Dato,0X80C2Ce4695E6Fb050X1A4138E69C8808
Silvia Santillan,1,Not Organized Office Staff And Warehouse Pingpong You From One To The Other Even If You Got A Resellers Permit They Will Close Hour Account And Charge You Taxes Unless You Maintain 2000Month Minumum Purchases,Sin Dato,0X80C2Ce4695E6Fb050X1A4138E69C8808
Alan Ngo,1,Sin Dato,Sin Dato,0X80C2D089C2416Ea10X6C53B9131E5Ee2
Brandon Reilly,1,Not Here Accurate Location Is 4Th And Grove,Sin Dato,0X80C334131306F03D0X115519Ef115A09
P C,1,Sin Dato,Sin Dato,0X80C34C646E79D2570X2A0C6890A3C4Fb
Vinny Brewer,1,Never Cater To The Young People For Small Damages Always Trying To Make Some Extra Cash For Work That Doesnt Need To Be Done,Time 1595270987589 Text Mr Brewer We Apologize If You Felt Less Than Satisfied With Your Visit A Representative Will Continue To Attempt To Reach You,0X80C354Aceb8Bfa1B0X96C9Bd486D81D5
Lee Rhodey,1,Very Rude Employees,Sin Dato,0X80Dc718D9F8651E90Xbf32A2Aa8Ee324
Name Smith,1,Sin Dato,Sin Dato,0X80Dc718D9F8651E90Xbf32A2Aa8Ee324
Que Glover,1,I Made A Service Call To This Company Because My Ac Unit Was Leaking Paul Came Out Promptly I Opened The Garage So That He Could Check Out The System Before He Gave The System A Good Thorough Inspection He Said Most Likely Your Pan Is Cracked And Your System Is Old And Should Be Replaced He Gave Us A Price Of 6000 Seeing That We Were Unhappy With His Statement He Quoted Another Price Of 5000 At This Point We Told Him We Would Think About It He Charged Us 102 For A 22 Filter And Didnt Make Any Attempts To Fix The Leak Which Was What He Was Call Out For The Next Day We Called Jf Heating And Air Conditioning This Guy Came Straight In Looking For The Source Of The Leak The Drain Hose Wasnt Elevated Enough For The Water To Drain Out So The Water Was Just Sitting And Eventually Began To Leak He Raised The Hose Charged Us A 40 Service Fee And The Job Was Done Yes Our Ac Unit Is From The 90S But It Still Works Great If We Wouldnt Have Had A Second Company Come Out To Give Their Opinion We Wouldve Been Out Of Thousands For Nothing Paul May Have Been Doing This For Over 35 Years Thats What He Told Us But He Need To Be More Thorough Before Trying To Get You To Buy A New Unit He Told Us He Dont Try To Beat Customers Out Of Money That Also Made Me Skeptical About A New Unit I Still Dont Understand How A 22 Filter Became 102 Because You Dont Beat Your Customers Out Of Money Right Smh,Time 1565454627780 Text Hi Que Thank You For Leaving Feed Back For Us I Would Really Like To Look Into This More For You It Seems Like There Were Other Services Provided For That 102 Not Just A New Filter Perhaps A Tuneup As Well I Would Like To Look Up Your Invoice To Go Over It With You Further And Resolve This Matter For You I Will Need Your Address First Will You Please Private Message Us Your Address And I Will Look Into This Right Away We Always Want To Provide The Best Customer Experience Possible And I Am Sorry That You Felt Yours Was Not I Look Forward To Hearing From You Thank You,0X80Dcaf3F003A29630X440A2524C991Ac
Jorge Munoz,1,Food Is Awfuli Got A Sick A Few Times Ordering Different Thingstrying To Give Them The Benefit Of The Doubtbout The Only Thing They Can Make Is Sunny Side Up Eggs,Sin Dato,0X14E1B1369E18Fd090Xaa2Bc32A4Ed07B0
Natalie Witvoet,1,Sin Dato,Sin Dato,0X54D1555F410Aefc90X1B1975F901C206C
Mzrycha Smith 2,1,The Sales Staff Are Informed To Help Sell They Are Friendly And Informed On What Corporate Needs Moving Out Of Product Storage  I Felt That If I Was Needing Product They May Be Adequate Unfortunately If You Need Other Services Especially A Payment Kiosk This Is The Only Available Location For 742 Miles I Prefer This Option To Make My Payment Over All Others Truly Attesk Efficiency In Disservice To The Rural Populations I Can See Why The Us Is Losing To The Chinese In The Global Markets  Instead They Fail To Maintain The One Kiosk That Serves Our Community 742 Miles And The Sales Teams Can Not Help Process My Payments Nor Can They Answer My Questions Nor Handle What Is Needed Att Should Take Note Of The Lessons Being Learned From Pge As You Begin To Dismantle The Pots System You Take Away A Resource For Those Who Hope The Reverse 911 Call Will Be Recieved On The Princess Trimline Mounted To The Wall For In Rural Communities We Help Look For The Lost Elderly And Youth And If The Sheriff Calls Out An Alert Or In Need To Be Evacuated Pge Cut Your Power But The Phone Landline Attached To An Older Phone That Does Not Require An Outlet Will Work Your Fiber Optics At The Most Have 1 Hour Back Up Power And Your Customers Need Power To Recieve Your Alerts I Am Not In The Main Access And The Amazing Heros That Do Wake The Citizens Are Sparse So We Rely On What Used To Work The Pots Landline If We Ever Get A Solar Flare Like The One 100 Years Ago That Affected The Telegraph To Colorado From The Poles Hope To Not See Att Fail In The Line Of Fireo,Sin Dato,0X54D29333Adf397270Xf97641E331748Bb
Edward Ed Klosterman,1,Careful There In The Funny Business Not The Service Have Had My Car In For Warranty Electric Problem Three Times Its Now Numerous Eletrical Problems Cost Me 50000 And The Issue I Brought It In For Has Gotten Worse However I Do Now Have A New Battery And Am Not Sure If It Wouldnt Be Better To Have It Towed To Sacramento,Sin Dato,0X8082D886566Db7070Xd2F53E72Fb6D092
Kristi Borton,1,This Place Is A Fraud And They Absolutely Do Not Care About Providing Quality Service Or Any Service But They Are Very Comfortable Charging Outrageous Fees For Doing Nothing Do Not Go Here For Service After They Assured Me My 200K Mile Car Was Perfectly Fine And No Maintenance Was Needed And Charging Me Some Crazy Amount For Doing Nothingless Than Two Weeks Later My Car Completely Cropped Out On Me Due To Spark Plugs Being Put In Wrong Something They Should Have Noticed Had They Done An Actual Inspection I Loved My Extremely Rare Cotolla Xrs And Thanks To Their Laziness And Horrible Business Practices My Beloved Car Is No Longer Bringing Me The Joy Of Driving,Sin Dato,0X8082D886566Db7070Xd2F53E72Fb6D092
Richard Evenson,1,Sin Dato,Sin Dato,0X8082D886566Db7070Xd2F53E72Fb6D092
Ilovechickennuggets  Ilovechickennuggets,1,Garbage Terrible Advertising Practices Try To Deceive Consumers With Their Spam,Sin Dato,0X8082D886566Db7070Xd2F53E72Fb6D092
Matt Grago,1,The Dcba Exemplifies All That Is Wrong With The Chico Political Scene This Organization Produces Mediocre Results With Spiraling Costs The Definition Of An Organization That Has Become Completely Self Serving,Sin Dato,0X808327B090Fa196B0Xf9Ee58Cf3090096
Jessica Martinez,1,This Place Is Horrible Never Again I Will Eat Thier The Servers Are Always In A Bad Mood Food Was Horrible And It Was Very Expensive And Theres Flies All Over The Place I Personally Will Never Go There Ever Again,Sin Dato,0X80843700408678A50Xd4716382C4B8F64
Benfam3,1,Absolutely Terrible Repair Service On My Honda Generator They Have Had It For Over 3 Months And Have Not Even Looked At It Yet I Have Called And Called And Never Get A Return Call Their Either Not There Or Indifferent Claiming We Will Call You Back When We Have Something To Tell You They Claim To Only Have One Mechanic And Hes Never There Or Returns Phone Calls His Message Box Is Always Full So You Cant Even Leave A Message This Is Supposed To Be A Honda Factory Authorized Repair Facility And They Have Failed On Every Measure I Even Went To The Effort Of Filing A Claim Against Them Directly With Honda Hq In Atlanta Georgia And They Have Had No Luck Getting My Generator Fixed Unfortunately For Me I Got A Defective Honda Generator Which Is A Rarity According To Most Reviews And This Whole Experience Has Been A Horror Story Avoid This Place At All Costs As They Deserve To Be Out Of Business I Am Presently Working With Honda To Make Sure They Lose Their Status As A Factory Authorized Repair Facility I Now Have To Have My Generator Taken To Another Repair Facility In The Area I Have Since Purchased Another Generator And Its Not A Honda 3 Months Of Wasted Time And Energy And Incredible Frustration Go Somewhere Else You Will Thank Me You Have Been Warned,Time 1581036805972 Text This Person Tried To Fix His Generator Himself It Was Taken Apart We Tried To Fix It But We Never Could Figure It Out What Was Wrong With It Finally Someone From Honda Came And Took It Away We Do Service On Many Honda Generators Daily Since The Safety Power Shutoffs Last Fall We Did Get Behind Are Still About Six Weeks Out On Equipment,0X808438F5112481B30X5029052Cf56A490
Eduardo Dueñas,1,Sin Dato,Sin Dato,0X80844170Be1F1Fe70X9121B3577C2A2F8
Emilio Licea,1,Service Here Is Terrible Im From The Area And Its Sad To See Terrible Service Ruin Good Beer Ill Never Step Into This Brewery Again,Sin Dato,0X808447Fdcd1C32350X70372Ccdef58E9F
Nathan Genovese,1,Santa Rosas Number One Source For Overrated Beer Terrible Pub Food And Entitledmillennialhipster Sightings,Sin Dato,0X808447Fdcd1C32350X70372Ccdef58E9F
Christina Tupper,1,I Took Both My Girls And Myself To Get Our Hair Done My 10 Year Old Has Wavy Hair And When I Noticed An Uneven Spot On The Side The Lady Said Its Because Her Hair Is Wavy She Then Fixed It My 12 Year Olds Hair Is Somewhat Acceptable But When It Came To My Cut I Had A Different Stylist I Asked For An Aline I Got A Very Short Bob I Left Then Called To Ask Them To Fix It I Went Back New Stylist This Time She Was Pulling My Hair And Poked My Scalp With Something I Still Walked Out Unhappy I Went To Another Shop Paid For Them To Fix It 80 Later I Am Satisfied I Will Never Return To Super Cuts,Sin Dato,0X8084481F595C12Ab0Xea2372259A9417C
Steve Tucker,1,Service Is Terrible Ive Talked To Different People About A Situation Im Having And Ive Gotten No Where,Sin Dato,0X80847602B7B8453D0Xfdac8Fa2712Cfe0
Chris Cox,1,Sin Dato,Sin Dato,0X808515Cd8E143D130Xc4151B101E15776
Sharleen Cuevas,1,Ive Been To Two Auto Zone Stores In Antioch The One On Lonetreeway And Golf Course Was And Continues To Be A Huge Disappointment Imnot Sure As To Why People Take Positions In Jobs They Obviously Have No Interested In Doinnot Only Are The Employees Very Very Uneducated In The Position S But Not Willing To Do Anything Above And Beyound What Is Expected Of That Positionfrom Were I Was It Appeared That Was Show Up And Stand There Any Thing More And Ya Not Happening Id Rather Not Return To That Location Ever Sadly I Cannot Remember Other Location They Were Awsomevery Very Warm And Helpful And Went A Over And Beyound There Duty Completely Id Go There Every Time Great Experience Not So Much The First One,Time 1610373179501 Text This Is Never The Impression We Should Leave Sharleen Being Knowledgeable About Auto Parts And Providing The Best Customer Experience Is What Autozone Is All About Were Disappointed We Let You Down Were Always Listening To Our Customers And Making Improvements We Hope You Give Us Another Chance In The Future To Take Care Of Your Automotive Needs,0X808557F30D587A4D0Xea66219D2Ba73Cc
Josh Camarena,1,Sin Dato,Sin Dato,0X808560Dd1E4300150X609B5Bc14F8B7Ea
Sayed Latif,1,They Are Real Mean And They Never Help Anyone They Told Me Give Me A Second And I Was Wait More Then 25 Minutes And They Didnt Show Up After 25 Minutes They Are Ignored Me,Sin Dato,0X808561D1024806910X71E4E752Be63820
Veronica Peiffer,1,Cubano Sandwich Was Missing A Lot Of Meat Last Time We Ordered It It Was Packed With Meat My Daughters Butter Pasta Had No Flavor At All And The Homemade Pasta Was Stuck Together Not Worth The Money Spent,Sin Dato,0X8085625A787Bed7F0X4272Da9859446B3
Matthew Goerke,1,Not Open Weekends Will Never Waste My Time Again,Sin Dato,0X808567Ae86522A610Xe18B9F03019553D
Al Quilon,1,Good,Sin Dato,0X80857364A9D0A6410X8C709E71Dd0A944
Skincare Addict,1,The Lady That Currently Works There Is Super Ghetto She Basically Told Us To Walk Around The Block With Our Clothes Because She Felt Like Closing The Back Entrance To The Parking Lot At 7Pm When They Close At 10Pm I Had To Literally Push A Cart With My Clothes Around The Building Hopefully She Had Fun Picking Up My Cart After I Left It In The Parking Lot For Making Me Walk,Sin Dato,0X80857941F91D1C030Xfdd4Bf56Bfdef8B
Van Blue,1,No Good Part,Sin Dato,0X80857E18474E0Da10Xa7Fa2772Ddabc2F
Miguel Lm,1,Disrespectful And Not Conscious Of The Noise Making For The Community With Their Outdoor Music And Classes,Sin Dato,0X80857E9920E3920F0X2D649Dabe7B36C8
Fadi Stephan,1,I Would Stay Away I Have Been Quoted Different Prices By Two Different People In The Sales Department To Make Things Worse They Called Me At 555Am To Complete And Sales Call Who The Heck Calls At 555Am To Try To Complete A Sale Stay Away They Are Hard Up For Money Just Reading All These Bad Reviews Now,Sin Dato,0X80858061D849E1910Xf1364E31Ff80522
Andy Moreno,1,The Workers Are Very Friendly  This Place Offers A Large Selection Of Edibles The 5 Dollar Pre Rolls Are A Lifesaver For My Lunch Breaks When I Forget To Bring My Stash With Me Update This Place Sucks Ever Since They Got Rid Of Their Amazing And Friendly Staff,Sin Dato,0X8085807Cbaf031630X1A907F4Bd2A7B83
Sasha Mcculloch,1,Sin Dato,Sin Dato,0X8085808F79Eabf8D0X8823D9Ca2B0A427
Jafet Vargas,1,Sin Dato,Sin Dato,0X80858094418Fc39D0Xf29A2D61Ab1Cf3A
White Eagle,1,Sin Dato,Sin Dato,0X808580Dfb99Fb0C50Xf93Bebe0A87F6E1
Laura Davis King,1,Very Long Wait Due To Not Only Covid Procedures But The Staff Working With No Sense Of Urgency Food Was Bland Small Portions And Entire Experience Was Not Worth It I Would Not Recommend This Location,Sin Dato,0X808580Fcf471Caff0Xaec308D83Eba6B3
Jeremy Collins,1,By Far The Worst Service Ive Encountered In Years We Were Told It Would Be A 3045 Minute Wait For A Table Which Turned Out To Be An Hour And 15 Minutes After Being Seated The Waitresses Could Not Get On The Same Page And Messed Up Our Drink Orders Water And Sweet Tea The Tea Was Unsweetened And Taste Worst Than Tap Water It Took Another 45 Minutes For Our Food To Come Out And When It Did The Orders Were Not Correct The Manager Was No Help And Wouldnt Stay At The Table Long Enough To Hear Or Complaints When The Checks Came Items Were Added To Our Bills That Noone Ordered And The Staff Struggled To Get Them Corrected Never Will I Go To This Location Again,Sin Dato,0X808580Fcf471Caff0Xaec308D83Eba6B3
Sissygirl 99,1,Ugh Is All I Can Sayeat Elsewhere Is Your Best Bet,Sin Dato,0X808580Fcf471Caff0Xaec308D83Eba6B3
Emilio Ortiz Nemo,1,Sin Dato,Sin Dato,0X808580Fcf471Caff0Xaec308D83Eba6B3
Sebastián Borja,1,Sin Dato,Sin Dato,0X808580Fcf471Caff0Xaec308D83Eba6B3
Claire Campion,1,Coffee Was So Bad It Was Undrinkable Sadly,Time 1614145710836 Text Sorry You Had That Experience Please Let Us Know So We Can Make It Right For You,0X808581757Bef35290X144B30Db4736A10
Janet Siharath,1,Ordered On Ubereats Missing Veggies Missing Milkshake,Sin Dato,0X80858176890Ad56B0X36D1087992296Ee
Bessy Banegas,1,Translated By Google I Have Weeks Of Wanting To Make An Appointment For My Childrens Passport And I Have Called For Information And They Never Answer The Phone And I Go To The Page To Make The Appointment And When I Get To The Day That It Is Supposedly Available They Say That There Was An Error That Is No Longer There Available That Courage And Sadness Because We Need Our Important Documents Original Tengo Semanas De Querer Hacer Una Cita Para Pasaporte De Mis Hijos Y He Llamado Para Informacion Y Nunca Atienden El Telefono Y Me Voy Ala Pagina Para Hacer La Cita Y Cuando Llego Al Dia Que Supuestamente Esta Disponible Dicen Que Se Dio Un Erros Que Ya No Esta Disponible Que Coraje Y Tristeza Porque Nosotros Necesitamos De Nuestrosdocumentos Importantes,Sin Dato,0X808581Af1A58C9030Xa12Eab6Fc864128
Burden Of Proof,1,Translated By Google I Am Not Catracho But I Will Not Go There Again 8  They Need Emergency Primarii 911 Retraining Original Yo No Soy Catracho Pero No Vuelvo A Ir Alla 8 Necesitan Reentrenamiento Primarii De Emergencia 911,Time 1601592314499 Text Translated By Google Good Morning What Is Your Problemnnoriginalnmuy Buen Dia Cual Es Su Molestia,0X808581Af1A58C9030Xa12Eab6Fc864128
Yordi Vicente Ramirez Ramirez,1,I Wanted To Pay A Bill There Was Like 3 People The Service Was Slow I Spent Like 30 Or More Minutes In Nothing And I Couldnt Pay My Bill,Sin Dato,0X808582A84E5333E30X267Fe8D51F7Da67
Gary Branson,1,So I Just Went To This Gas Station For The First Time This Morning At 5 Am After Filling Up My Tank With Gas I Parked For A Little While In One Of Their Parking Spots One Of Their Attendants Came Out And Told Me To Move My Car Because I Couldnt Park There In One Of Their Designated Parking Spots After Filling Up My Car With Gas At Their Gas Station The Attendant Was Very Rude Using Foul Language Telling Me That I Was Parked In The Owners Parking Spot I Will Repeat That This Was 5 Am And Nobody Was Around To Use That Spot I Think It Was Just The Attendant Being A Jerk And I Will Never Spend Another Dime At This Gas Station Again Update I Drove By An Hour Later And There Was Still Nobody Parked In Any Of Their Parking Spaces The Attendant Was Clearly Lying About The Owners Parking Spot Claim,Sin Dato,0X8085870F7A165Ddb0Xb08B6E2A848B5D5
Mamuka Mdivani,1,Manger Service Bad No Patience And Liar,Sin Dato,0X808587366Ab849E90X7634A1Fe25B6196
Brendan Reilly,1,Boo,Time 1574024847654 Text Hi Brendan Reilly I Would Like To Know More About Your Experience Please Email Careenterprisecom And Include The Rental Location Rental Agreement Or Reservation Numbers And Your Contact Information Thank Youchristopher,0X80859A1C6A7Cdea30Xe7E32Def8409C31
Rene Winston,1,Sin Dato,Sin Dato,0X8085B15234D168B90Xe229993E989Cf48
Cynthia Sexton,1,The Dont Really Help The Homeless Anymore Catholic Charities Has Taken It Over Its Now A Wet Shelter Not Good,Sin Dato,0X8085B15234D168B90Xe229993E989Cf48
Karla Gouveia,1,Sin Dato,Sin Dato,0X8085B15234D168B90Xe229993E989Cf48
Day Lyons,1,I Thought The Guy Behind The Counter Was Very Rude To A Customer He Acted Like The Guys Accent Was So Thick He Couldnt Understand Him Im Horrible With Accents And I Could Understand The Guy Just Fine He Was Just Being Rude To Him Cause He Was Russian I Dont Live In This Area But I Wouldnt Go Back There,Sin Dato,0X8085B41E04E7Da7B0Xd1Ba9E4F7D4C47B
No Name,1,I Love Subway And I Mean Love I Refuse To Support This Store Any More This Is The Most Skimpy Subway I Have Been To Charged For Exstra Veggies When I Asked For An Exstra Tomato Cuz Their Was Only 4 On My Foot Long,Sin Dato,0X8085B4E370B32Cc90Xe686D5845147Ead
Candelario Parra,1,Well All Ican Say Is Sorry I Lied To Everyone And I Know Now My Wife Was Never Gultiy Of Nothing I Know My Wife At The End Is Going To Win Because She Was Never Guilty Just Made A Bunch Of Lies A Lot Of Trouble Which I Know Im Going To Be Sent Back To Mexico But I Cant Take Back Everything I Did I Dont Know What Im Going To Do Its A Matter Of Time That They Catch Me,Sin Dato,0X808De423B62021Eb0X8F5Ae32C3D2Af76
Jacob Guzman,1,Horrible I Went In To Get A Tire Patched Up And They Tell Me They Cant Patch It And So I Ask How Much For A Used Tire Size 18560R15 And They Say 40 Which Is Ridiculous Then They Wanna Charge Over 100 For That Tire I Did Research And The Same New Tire Is 50 So I Told Them No Thank You And I Was Really Polite And They Came Back And Told Me If You Come Back Its Going To Be 80 For The Used Since You Told Us No You Should Go Somewhere Else Are You Serious Who Tells A Customer That They Seriously Lost Alllll Of My Business And I Will Never Ever Recommend Them On Top Of All That I Went Somewhere Else And They Patched My Tire Up No Problem This Place Was Just Tryna Get My Money,Sin Dato,0X808De4F21830A6850Xf954628E7188C23
Shay B,1,They Give You Wrong Pay Dates And Still Charge You Late Fees Even Tho Its There Fault And They Never Takes Notes On What They Say They Will Do,Time 1546009059274 Text Hello Shakayla We Would Like To Apologize For Your Negative Experience With Our Company Wed Like To Learn More About Your Specific Situation And Make Things Right We Would Greatly Appreciate If You Could Give Us Your Contact Information Or Give Us A Call At 18003000227 At Your Earliest Convenience In Order To Help You Solve This Situation We Look Forward To Speaking With You And Working Towards Earning Back Your Business,0X808Dff13C65E921D0X3Fa8Aa4Ef8Adb56
Yadira Torrecillas,1,Sin Dato,Time 1546286876356 Text We Are Sorry You Feel This Way And We Would Like To Learn More Please Email Us At Myexperienceaaronscom With Details Thanks  Phil,0X808Dff13Ea795Aa90X7A5Afb644563Bd2
Imasavage972,1,The Dude Selling The Mushroom Always Says They Are Out Of Stock We Came There 2 Times Different Days And They Said They Didnt Have Any I Thought You Grow Them Here,Sin Dato,0X808E056F1D4699530X49Fccef223B2D4A
Sanjuanita Garza,1,Sin Dato,Sin Dato,0X808E207F8E7D31610Xe246Febf3513E99
Allen Kiouses,1,Not Good Parking Lot Full Of Garbage Rude Guest Up All Night Bad Night Service Dirty Rooms And Hall Ways Smelled Like Sewage And Cigarettes Will Never Stay There Again,Sin Dato,0X808E207F8E7D31610Xe246Febf3513E99
Ricekrispy Treat,1,I Will Never Get My Medication Here Bad Experience,Sin Dato,0X808E2D68F33Be4C70X1D7598B25E5E32F
Ellie Contreras,1,Tacos Here Are Really Good Almost As Good As The Ones My Mom Makes I Hate That Almost Always They Run Out Of Chicken Super Early The Lady That Takes Your Order Definitely Needs Some Training In Customer Service She Never Smiles Shes Never Polite And If You Ask How Much Longer For Your Order To Be Ready She Gives You The Nastiest Attitude Possible Them Turns To Talk Bad About You To The Guy That Makes The Food This Spot Can Easily Be A 45 Stars But Because She Is So Rude They Only Get 1 Star,Time 1597157824658 Text Translated By Google A Thousand Apologies Nnoriginalnmil Disculpas ,0X808E2E0260Fc85490X4245B7E032Bab36
Lupita Rodriguez,1,I Feel Horrible For This Review Because I Dont Like To Talk Mean About Small Business But It Is What It Is The Lady Is Rude Personally Me I Dont Go Back To A Place Like This And Im An All Smile Second Chance Kinda Girl But When I Spend Money Somewhere At Least Great Costumes With A Smile  And Burritos 9 For A Small Tortilla And Tacos Soooo Dry And No Flavor Salsa Was Good But I Wont Go There Nope Not Again Not Ever Not Today Or Tomorrow Sorry But I Hope You Apriciate My Review And Learn From It,Sin Dato,0X808E2E0260Fc85490X4245B7E032Bab36
